Objective value: 107.6583

******Calibrated demand*****
ID	 CalibratedValue
BJD000019    0.9241
BJD000020    1.1776
BJD000026    1.7100
BJD000027    2.1260
BJD000033    1.4917
BJD000038    0.6373
BJD000040    1.5075
BJD000041    1.4778
BJD000051    1.2594
BJD000056    1.7694
BJD00006287    0.4240
BJD00006369    0.3221
BJD00006377    0.3930
BJD00008747    0.3742
BJD00008748    1.1355
BJD000095    0.4324
BJD000103    1.7175
BJD000117    0.3289
BJD000123    1.8241
BJD000125    2.2699
BJD000130    2.8537
BJD000158    0.3978
BJD000169    1.2156
BJD000202    0.3566
BJD000210    1.3687
BJD000214    2.0965
BJD000233    0.3814
BJD000248    1.4466
BJD000296    1.0063
BJD000346    0.4357
BJD000352    0.3201
BJD000359    1.0401
BJD000374    0.3807
BJD000376    0.4139
BJD000380    1.1123
BJD000398    0.3572
BJD000400    1.4483
BJD000406    0.0471
BJD000424    0.3082
BJD000432    0.3511
BJD000443    0.3678
BJD000453    -0.1604
BJD000455    0.2909
BJD000457    0.3359
BJD000472    0.4602
BJD000474    -0.1375
BJD000477    -0.0823
BJD000499    0.3794
BJD000500    0.3665
BJD000502    0.3628
BJD000503    0.1700
BJD000601    0.3883
BJD000605    0.0011
BJD000657    0.3595
BJD000660    1.7831
BJD000664    0.3303
BJD000678    -0.1150
BJD000680    1.4673
BJD000681    1.4958
BJD000709    0.9963
BJD000749    0.6650
BJD000771    -0.0579
BJD000786    0.3223
BJD000792    0.5365
BJD000808    0.3183
BJD000809    -0.0734
BJD000811    0.3049
BJD000816    1.5162
BJD000817    0.4320
BJD000818    0.3008
BJD000820    0.1972
BJD000823    0.3284
BJD000844    0.3158
BJD000845    0.6859
BJD000848    0.3780
BJD000866    -0.1292
BJD000898    0.4465
BJD000928    0.3868
BJD000935    0.5590
BJD000958    0.0759
BJD000959    1.2992
BJD000960    0.3061
BJD000961    0.3337
BJD001141    0.3666
BJD001144    0.3302
BJD001148    0.3256
BJD001248    -0.0373
BJD001371    1.5412
BJD001427    0.2829
BJD001516    -0.0949
BJD001517    0.3870
BJD001591    0.3224
BJD002208    2.5726
BJD002528    0.1380
BJD002529    -0.0027
BJD002530    0.1991
BJD003309    0.2961
BJD003312    0.7521
BJD003858    0.3195
BJD004236    1.3834
BJD004332    0.3713
BJD004345    0.3668
BJD004471    0.7015
BJD004491    0.3427
BJD004494    0.3679
BJD004556    0.7154
CLD0003    0.8652
CLD0004    0.8875
CLD0005    0.1756
CLD0006    0.3293
CLD0010    2.2171
CLD0011    1.7943
CLD0014    0.4193
CLD0018    606.0082
CLD0022    0.3332
CLD0028    0.7206
CLD0031    0.6267
CLD0032    10.9026
CLD0036    0.9884
CLD0044    1.6203
CLD0045    0.6507
CLD0047    18.2598
CLD0048    0.3672
CLD0049    0.4255
CLD0050    0.3855
CLD0051    0.4027
CLD0052    20.7600
CLD0053    1.5989
CLD0054    0.2046
CLD0056    1.0955
CLD0057    0.3300
CLD0058    2.1629
CLD0059    1.6397
CLD0060    2.4565
CLD0061    1.4783
CLD0062    0.3208
CLD0064    19.7838
CLD0065    162.0384
CLD0066    1.7192
CLD0067    1.7908
CLD0069    1.6978
CLD0070    0.6777
CLD0071    0.5802
CLD0074    0.3066
CLD0076    0.4182
CLD0077    1.0626
CLD0078    0.4039
CLD0079    1.3258
CLD0080    0.3728
CLD0083    0.4143
CLD0085    0.3624
CLD0087    0.7173
DD00002857    0.2161
DD00003042    0.2984
DD00003629    0.4297
DD00003803    0.2851
DD00003805    0.4074
DD00003850    0.2979
DD00003851    0.3170
DD00004284    1.0051
JLB0107    5.3235
JLB0313    0.4082
JLB0459    0.4023
QT00000027    1.5209
QT00000127    0.3291
QT00000211    0.3989
QT00000212    0.3879
QT00000223    0.3032
QT00000259    0.4978
QT00000269    0.3227
QT00000270    0.3740
QT00000276    0.3830
QT00000284    0.3759
QT00000285    2.1197
QT00000295    0.3376
QT00000584    0.3937
QT00000639    0.4019
QT00000652    1.8022
QT00000668    0.4327
QT00000693    0.4288
QT00000694    1.1941
QT00000738    0.3568
QT00000740    0.3740
QT00000741    0.3593
QT00000744    0.4078
QT00000756    1.5219
QT00000758    0.4108
QT00000760    0.3202
QT00000766    1.6594
QT00000770    1.4946
QT00000807    2.2371
QT00000844    0.2449
QT00000865    1.6764
QT00000927    0.3659
QT00000953    0.3320
QT00000958    0.3606
QT00000978    0.6095
QT00000979    0.7021
QT00001204    1.5474
QT00001272    0.0530
QT00001273    0.0819
QT00001274    0.3277
QT00001275    -0.0663
CLD0007    0.4365
QT00001690    0.4085
QT00001926    2.2490
QT00002025    0.3428
QT00002044    0.4132
1030    29.2130
QT00002433    0.3651
QT00002435    0.2987
QT00002495    0.3639
QT00002682    0.3762
QT00002683    0.3458
QT00003065    0.1843
QT00003076    0.1300
QT00003284    -0.1351
QT00003329    0.7996
QT00003364    1.5701
QT00003366    0.0751
QT00003433    0.4050
QT00003941    0.3637
QT00004135    0.2966
QT00004136    0.2975
QT00004141    0.2827
QT00004237    0.3512
QT00004835    0.4101
QT00004918    0.3715
QT00005355    0.3915
QT00005533    0.5015
QT00005536    0.8500
QT00007307    0.5841
QT00007474    0.3899
QT00007490    0.3439
QT00007500    0.3369
QT00007501    0.3639
QT00007519    0.3569
QT00008244    0.4017
QT00008276    0.4384
QT00008304    0.2510
QT00008312    0.2240
QT00008320    0.2829
QT00008328    1.1034
QT00008550    0.1105
QT00008600    0.6606
QT00008601    0.3489
QT00008617    0.3840
QT00008633    0.3667
QT00008753    0.3264
QT00008770    0.6453
QT00008786    0.5575
QT00008808    0.3135
QT00008817    0.5692
QT00008833    0.7360
QT00008849    0.6107
QT00008884    1.3354
QT00008978    0.4175
QT00009007    0.6754
QT00009013    0.4707
QT00009031    0.3038
QT00009109    0.6793
QT00009171    0.3241
QT00009187    0.3044
QT00009222    0.3230
QT00009279    0.6979
QT00009315    0.6156
QT00009333    1.4148
QT00009492    0.3419
QT00009503    0.3353
QT00009532    1.1353
QT00010046    0.4102
QT00010271    0.3253
QT00010287    0.3968
QT00010492    0.4094
QT00010690    0.4095
QT00010918    0.3332
QT00010920    0.4205
QT00011296    0.3944
QT00011476    0.3502
QT00012045    0.3950
QT00022182    0.2356
QT00022219    0.4312
QT00034123    0.3335
QT00034141    0.3660
QT00034142    1.3209
QT00034182    0.2144
QT00034460    0.6555
QT00035438    -0.0658
QT00035440    1.6896
QT00035491    0.4895
QT00035495    0.4871
QT00035522    0.7247
QT00035528    0.5532
QT00035530    0.8983
QT00036932    0.3050
QT00051831    0.3256
QT00051832    2.0075
QT00051839    0.5110
QT00051925    -0.1015
QT00052012    0.3763
QT00052494    0.7237
QT00052510    0.7163
QT00052526    0.7041
QT00052542    0.6088
QT00052546    0.3698
QT00055239    0.4886
QT00055240    0.5581
ST00000001    0.0208
ST00000023    0.9427
ST00000028    0.3494
ST00000029    0.3225
ST00000044    2.2048
ST00000067    1.0365
ST00000078    0.3580
ST00000079    0.4363
ST00000082    0.7818
ST00000090    0.2894
ST00000091    0.3687
ST00000093    0.3454
ST00000094    0.3074
ST00000095    0.3519
ST00000103    0.4018
ST00000104    0.3668
ST00000105    0.4160
ST00000106    0.3159
ST00000107    0.2951
ST00000128    0.4018
ST00000136    0.3515
ST00000153    0.3398
ST00000166    0.3765
ST00000177    0.3248
ST00000180    0.3003
ST00000181    0.3194
ST00000183    0.3618
ST00000199    0.3624
ST00000203    0.3768
ST00000204    0.3646
ST00000205    0.3953
ST00000207    0.3644
ST00000227    0.3013
ST00000239    0.3703
ST00000244    0.3839
ST00000245    0.3886
ST00000251    0.3584
ST00000253    0.3538
ST00000259    0.2961
ST00000265    2.4598
ST00000271    0.3702
ST00000278    0.3222
ST00000293    0.3227
ST00000298    0.3736
ST00000302    0.4172
ST00000315    0.4182
ST00000320    0.3738
ST00000321    0.3627
ST00000324    0.3232
ST00000329    0.3627
ST00000330    0.3184
ST00000353    0.3501
ST00000356    0.4008
ST00000369    0.4075
ST00000370    0.2902
ST00000384    0.4083
ST00000385    0.3735
ST00000386    0.4073
ST00000395    1.3455
ST00000404    0.2856
ST00000426    0.4366
ST00000428    0.4021
ST00000430    2.2964
ST00000436    0.4050
ST00000441    0.3740
ST00000443    0.3215
ST00000460    0.3642
ST00000476    1.9940
ST00000530    0.7400
ST00000536    0.6035
ST00000537    1.1803
ST00000544    0.9487
ST00000548    -0.0440
ST00000549    0.0319
ST00000550    0.8070
ST00000555    1.5775
ST00000565    1.5316
ST00000568    1.9069
ST00000591    0.7707
ST00000592    0.6145
ST00000593    1.1080
ST00000594    1.5659
ST00000599    0.8946
ST00000607    1.0740
ST00000624    1.0255
ST00000635    0.2969
ST00000637    0.2840
ST00000655    1.7237
ST00000657    1.2254
ST00000669    2.5967
ST00000670    1.4508
ST00000673    0.4672
ST00000675    0.3818
ST00000677    0.3727
ST00000679    0.1719
ST00000680    0.6007
ST00000681    0.9939
ST00000683    0.2724
ST00000684    0.6606
ST00000687    0.0568
ST00000691    0.8685
ST00000693    1.5506
ST00000705    0.4179
ST00000713    0.8610
ST00000716    0.6482
ST00000725    1.2355
ST00000727    1.1034
ST00000728    1.4273
ST00000737    1.2753
ST00000738    1.5642
ST00000747    1.4471
ST00000751    2.6549
ST00000799    1.1481
ST00000804    1.3344
ST00000823    1.9009
ST00000831    1.5712
ST00000832    1.2810
ST00000845    1.2388
ST00000847    1.0419
ST00000875    2.3991
ST00000891    0.8740
ST00000892    1.0376
ST00000893    0.9022
ST00000900    1.3750
ST00000917    1.3495
ST00000918    1.8391
ST00000925    2.1376
ST00000926    1.7619
ST00000945    0.7634
ST00000946    0.6665
ST00000949    1.8218
ST00000955    0.7112
ST00001031    1.6545
ST00001032    1.6785
ST00001039    1.1925
ST00001042    1.6166
ST00001055    1.5678
ST00001070    0.9763
ST00001073    1.2544
ST00001083    1.8339
ST00001103    1.7914
ST00001118    1.4657
ST00001139    1.0885
ST00001140    1.6436
ST00001141    1.5633
ST00001144    1.8179
ST00001146    1.3644
ST00001208    1.9978
ST00001215    1.6959
ST00001218    1.5062
ST00001226    1.2769
ST00001238    1.0773
ST00001239    2.5374
ST00001257    2.4051
ST00001272    0.4323
ST00001282    0.3298
ST00001288    2.2092
ST00001303    0.3077
ST00001305    0.2578
ST00001307    -0.0323
ST00001324    2.0805
ST00001328    1.2165
ST00001347    1.4281
ST00001381    0.9654
ST00001404    0.9643
ST00001421    0.6642
ST00001443    0.6100
ST00001447    0.2942
ST00001449    0.6590
ST00001452    0.7808
ST00001458    0.3410
ST00001479    1.9216
ST00001536    1.6615
